Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Tyler Cook (14117071),Tyler Cook,14117071,SF/F/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,CLE,3.29
PF/C,Blake Griffin (14116845),Blake Griffin,14116845,PF/C/F/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,DET,27.61
PG/SG,Reggie Jackson (14116849),Reggie Jackson,14116849,PG/SG/G/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,DET,14.12
PG,Tim Frazier (14116853),Tim Frazier,14116853,PG/G/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,DET,11.89
SG,Khyri Thomas (14116856),Khyri Thomas,14116856,SG/G/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,DET,0.5
PG,Jordan Bone (14116859),Jordan Bone,14116859,PG/G/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,DET,1
SF/PF,Louis King (14116862),Louis King,14116862,SF/PF/F/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,DET,3.25
PG/SF,Shaquille Harrison (14116969),Shaquille Harrison,14116969,PG/SF/F/G/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,CHI,7.63
PG/SG,Ryan Arcidiacono (14116974),Ryan Arcidiacono,14116974,PG/SG/G/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,CHI,9.5
SG/SF,Denzel Valentine (14116978),Denzel Valentine,14116978,SG/SF/F/G/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,CHI,11.97
PF/C,Luke Kornet (14116983),Luke Kornet,14116983,PF/C/F/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,CHI,6.4
C,Cristiano Felicio (14116987),Cristiano Felicio,14116987,C/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,CHI,0
SF/PF,Chandler Hutchison (14116989),Chandler Hutchison,14116989,SF/PF/F/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,CHI,11.98
SG,Max Strus (14116993),Max Strus,14116993,SG/G/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,CHI,3.12
PG/SG,Adam Mokoka (14116996),Adam Mokoka,14116996,PG/SG/G/UTIL,3000,CHI@DET 01/11/2020 07:00PM ET,CHI,1.25
SF/PF,Justin Jackson (14116788),Justin Jackson,14116788,SF/PF/F/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,DAL,11.31
PG/SG,Jalen Brunson (14116792),Jalen Brunson,14116792,PG/SG/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,DAL,16.38
SG/SF,Courtney Lee (14116880),Courtney Lee,14116880,SG/SF/F/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,DAL,5.31
SG/SF,Ryan Broekhoff (14116885),Ryan Broekhoff,14116885,SG/SF/F/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,DAL,7.05
